"Timestamp","CPU_Usage","Mem_Avail_MB","Disk_BytesPerSec","FileIO_BytesPerSec"
"2025-05-08_14-18-24","0.34","670.00","0.00","0.00"
"2025-05-08_14-18-38","1.07","670.00","4,077.00","410.48"
"2025-05-08_14-18-52","2.81","672.00","73,028.11","508.32"
"2025-05-08_14-19-06","0.00","671.00","0.00","0.00"
"2025-05-08_14-19-21","0.00","654.00","109,432.56","0.00"
"2025-05-08_14-19-35","0.00","666.00","0.00","0.00"
"2025-05-08_14-19-49","0.03","662.00","106,460.40","411.18"
"2025-05-08_14-20-03","0.58","676.00","0.00","0.00"
"2025-05-08_14-20-18","2.17","704.00","0.00","0.00"
"2025-05-08_14-20-32","0.00","714.00","60,956.41","0.00"
"2025-05-08_14-20-47","0.16","704.00","142,706.09","231.01"
"2025-05-08_14-21-01","0.02","707.00","0.00","0.00"
"2025-05-08_14-21-15","0.99","667.00","0.00","0.00"
"2025-05-08_14-21-29","2.60","662.00","0.00","410.86"
"2025-05-08_14-21-44","0.65","674.00","119,693.06","0.00"
"2025-05-08_14-21-58","6.62","675.00","0.00","0.00"
"2025-05-08_14-22-12","3.29","671.00","6,076.10","0.00"
"2025-05-08_14-22-27","1.04","664.00","152,373.34","0.00"
"2025-05-08_14-22-41","2.17","668.00","197,500.92","0.00"
"2025-05-08_14-22-55","2.01","669.00","6,114.88","64,606.49"
"2025-05-08_14-23-10","2.47","677.00","61,388.42","410.25"
"2025-05-08_14-23-24","0.56","677.00","0.00","0.00"
"2025-05-08_14-23-38","0.00","684.00","0.00","0.00"
"2025-05-08_14-23-52","1.32","679.00","107,313.36","510.73"
"2025-05-08_14-24-06","1.44","686.00","0.00","0.00"
"2025-05-08_14-24-20","0.00","686.00","0.00","0.00"
"2025-05-08_14-24-35","0.44","689.00","0.00","0.00"
"2025-05-08_14-24-49","0.67","688.00","0.00","0.00"
"2025-05-08_14-25-03","2.13","687.00","0.00","0.00"
"2025-05-08_14-25-17","0.00","686.00","0.00","0.00"
"2025-05-08_14-25-31","0.17","686.00","4,071.81","0.00"
"2025-05-08_14-25-45","0.02","686.00","0.00","0.00"
"2025-05-08_14-25-59","1.85","686.00","8,117.59","0.00"
"2025-05-08_14-26-13","0.00","684.00","52,936.67","0.00"
"2025-05-08_14-26-27","0.00","684.00","92,130.53","0.00"
"2025-05-08_14-26-41","0.43","684.00","0.00","0.00"
"2025-05-08_14-26-55","0.11","685.00","0.00","0.00"
"2025-05-08_14-27-09","0.71","685.00","4,090.41","0.00"
"2025-05-08_14-27-23","0.00","685.00","0.00","0.00"
"2025-05-08_14-27-37","0.41","685.00","13,671.43","0.00"
"2025-05-08_14-27-51","0.12","685.00","0.00","0.00"
"2025-05-08_14-28-05","0.00","685.00","61,473.35","0.00"
"2025-05-08_14-28-19","0.00","685.00","0.00","0.00"
"2025-05-08_14-28-33","1.17","685.00","0.00","0.00"
"2025-05-08_14-28-47","0.00","685.00","0.00","0.00"
"2025-05-08_14-29-01","0.00","685.00","0.00","0.00"
"2025-05-08_14-29-16","2.82","688.00","0.00","0.00"
"2025-05-08_14-29-30","0.24","686.00","0.00","412.30"
"2025-05-08_14-29-44","0.51","676.00","192,471.59","0.00"
"2025-05-08_14-29-58","5.53","682.00","0.00","0.00"
"2025-05-08_14-30-13","1.32","677.00","0.00","0.00"
"2025-05-08_14-30-27","0.00","688.00","0.00","0.00"
"2025-05-08_14-30-41","1.91","682.00","65,462.85","0.00"
"2025-05-08_14-30-55","0.00","690.00","0.00","0.00"
"2025-05-08_14-31-10","0.35","685.00","194,394.51","0.00"
"2025-05-08_14-31-24","0.00","682.00","8,099.52","0.00"
"2025-05-08_14-31-38","0.51","678.00","25,965.14","0.00"
"2025-05-08_14-31-52","0.14","687.00","65,159.22","504.45"
"2025-05-08_14-32-07","0.72","687.00","0.00","0.00"
"2025-05-08_14-32-21","1.88","690.00","44,807.19","412.94"
"2025-05-08_14-32-35","1.33","688.00","0.00","0.00"
"2025-05-08_14-32-49","0.00","683.00","32,393.57","0.00"
"2025-05-08_14-33-04","0.74","679.00","40,495.30","0.00"
"2025-05-08_14-33-18","0.00","682.00","0.00","0.00"
"2025-05-08_14-33-32","0.58","687.00","32,410.03","0.00"
"2025-05-08_14-33-47","0.00","682.00","40,501.15","0.00"
"2025-05-08_14-34-01","2.29","681.00","52,664.05","76,442.78"
"2025-05-08_14-34-15","3.71","675.00","44,525.01","0.00"
"2025-05-08_14-34-29","0.16","646.00","40,929.34","0.00"
"2025-05-08_14-34-43","0.91","647.00","0.00","0.00"
"2025-05-08_14-34-57","2.50","649.00","32,736.51","0.00"
"2025-05-08_14-35-11","3.00","649.00","0.00","412.99"
"2025-05-08_14-35-25","0.83","649.00","61,075.42","0.00"
"2025-05-08_14-35-39","0.66","650.00","0.00","412.60"
"2025-05-08_14-35-53","0.13","650.00","12,724.51","0.00"
"2025-05-08_14-36-07","0.00","650.00","0.00","0.00"
"2025-05-08_14-36-21","0.00","650.00","56,978.02","0.00"
"2025-05-08_14-36-35","0.67","663.00","0.00","0.00"
"2025-05-08_14-36-49","0.12","663.00","0.00","0.00"
"2025-05-08_14-37-03","3.81","665.00","0.00","0.00"
"2025-05-08_14-37-17","0.00","666.00","0.00","0.00"
"2025-05-08_14-37-32","0.00","666.00","13,166.40","0.00"
"2025-05-08_14-37-46","0.76","666.00","0.00","0.00"
"2025-05-08_14-38-00","1.39","666.00","64,814.66","0.00"
"2025-05-08_14-38-14","0.00","666.00","0.00","0.00"
"2025-05-08_14-38-28","0.90","667.00","38,485.11","0.00"
"2025-05-08_14-38-42","0.00","667.00","0.00","0.00"
"2025-05-08_14-38-56","15.53","668.00","0.00","44,591.62"
"2025-05-08_14-39-10","0.00","669.00","64,638.97","0.00"
"2025-05-08_14-39-24","1.93","669.00","0.00","0.00"
"2025-05-08_14-39-38","0.44","670.00","0.00","0.00"
"2025-05-08_14-39-53","0.07","662.00","115,716.66","130,542.52"
"2025-05-08_14-40-07","1.06","663.00","6,074.67","0.00"
"2025-05-08_14-40-21","1.91","672.00","0.00","20,754.36"
"2025-05-08_14-40-35","1.90","674.00","0.00","0.00"
"2025-05-08_14-40-50","7.99","673.00","3,545.76","0.00"
"2025-05-08_14-41-04","0.00","678.00","64,805.31","0.00"
"2025-05-08_14-41-18","0.23","667.00","113,040.47","0.00"
"2025-05-08_14-41-33","0.12","676.00","0.00","0.00"
"2025-05-08_14-41-47","0.03","674.00","0.00","0.00"
"2025-05-08_14-42-01","0.42","679.00","0.00","65,378.79"
"2025-05-08_14-42-15","0.00","672.00","61,079.33","0.00"
"2025-05-08_14-42-30","2.51","674.00","0.00","0.00"
"2025-05-08_14-42-44","0.00","679.00","0.00","0.00"
"2025-05-08_14-42-58","5.29","677.00","0.00","0.00"
"2025-05-08_14-43-13","0.00","666.00","112,421.44","0.00"
"2025-05-08_14-43-27","0.00","665.00","52,193.43","0.00"
"2025-05-08_14-43-41","0.27","672.00","118,261.73","409.56"
"2025-05-08_14-43-56","1.27","671.00","54,785.48","0.00"
"2025-05-08_14-44-10","1.72","680.00","0.00","0.00"
"2025-05-08_14-44-24","2.13","668.00","8,154.30","0.00"
"2025-05-08_14-44-38","0.00","672.00","40,412.65","409.51"
"2025-05-08_14-44-52","2.27","673.00","0.00","508.02"
